Time,Region,Concrete product,value
2020,ESP,Precast concrete (reinforced)_Basement ground floor,0.0
2020,ESP,Precast concrete (reinforced)_Foundation,0.0
2020,ESP,Precast concrete (not reinforced)_Exterior wall,0.0
2020,ESP,Precast concrete (not reinforced)_Interior load-bearing wall,0.0
2020,ESP,Precast concrete (not reinforced)_Interior wall,0.0
2020,ESP,Precast concrete (not reinforced)_Roof,0.0
2020,ESP,Precast concrete (not reinforced)_Floor,0.0
2020,ESP,Precast concrete (not reinforced)_Basement wall,0.0
2020,ESP,Precast concrete (not reinforced)_Basement ceiling,0.0
2020,ESP,Precast concrete (not reinforced)_Basement ground floor,0.0
2020,ESP,Precast concrete (not reinforced)_Foundation,0.0
2020,EST,Transport concrete (not reinforced),0.0
2020,EST,Precast concrete (not reinforced),0.0
2020,EST,Transport concrete (reinforced),0.0
2020,EST,Precast concrete (reinforced),0.0
2020,EST,Transport concrete (reinforced)_Exterior wall,0.0
2020,EST,Transport concrete (reinforced)_Interior load-bearing wall,0.0
2020,EST,Transport concrete (reinforced)_Interior wall,0.0
2020,EST,Transport concrete (reinforced)_Roof,0.0
2020,EST,Transport concrete (reinforced)_Floor,0.0
2020,EST,Transport concrete (reinforced)_Basement wall,0.0
2020,EST,Transport concrete (reinforced)_Basement ceiling,0.0
2020,EST,Transport concrete (reinforced)_Basement ground floor,0.0
2020,EST,Transport concrete (reinforced)_Foundation,0.0
2020,EST,Transport concrete (not reinforced)_Exterior wall,0.0
2020,EST,Transport concrete (not reinforced)_Interior load-bearing wall,0.0
2020,EST,Transport concrete (not reinforced)_Interior wall,0.0
2020,EST,Transport concrete (not reinforced)_Roof,0.0
2020,EST,Transport concrete (not reinforced)_Floor,0.0
2020,EST,Transport concrete (not reinforced)_Basement wall,0.0
2020,EST,Transport concrete (not reinforced)_Basement ceiling,0.0
2020,EST,Transport concrete (not reinforced)_Basement ground floor,0.0
2020,EST,Transport concrete (not reinforced)_Foundation,0.0
2020,EST,Precast concrete (reinforced)_Exterior wall,0.0
2020,EST,Precast concrete (reinforced)_Interior load-bearing wall,0.0
2020,EST,Precast concrete (reinforced)_Interior wall,0.0
2020,EST,Precast concrete (reinforced)_Roof,0.0
2020,EST,Precast concrete (reinforced)_Floor,0.0
2020,EST,Precast concrete (reinforced)_Basement wall,0.0
2020,EST,Precast concrete (reinforced)_Basement ceiling,0.0
2020,EST,Precast concrete (reinforced)_Basement ground floor,0.0
2020,EST,Precast concrete (reinforced)_Foundation,0.0
2020,EST,Precast concrete (not reinforced)_Exterior wall,0.0
2020,EST,Precast concrete (not reinforced)_Interior load-bearing wall,0.0
2020,EST,Precast concrete (not reinforced)_Interior wall,0.0
2020,EST,Precast concrete (not reinforced)_Roof,0.0
2020,EST,Precast concrete (not reinforced)_Floor,0.0
2020,EST,Precast concrete (not reinforced)_Basement wall,0.0
2020,EST,Precast concrete (not reinforced)_Basement ceiling,0.0
2020,EST,Precast concrete (not reinforced)_Basement ground floor,0.0
2020,EST,Precast concrete (not reinforced)_Foundation,0.0
2020,FIN,Transport concrete (not reinforced),0.0
2020,FIN,Precast concrete (not reinforced),0.0
2020,FIN,Transport concrete (reinforced),0.0
2020,FIN,Precast concrete (reinforced),0.0
2020,FIN,Transport concrete (reinforced)_Exterior wall,0.0
2020,FIN,Transport concrete (reinforced)_Interior load-bearing wall,0.0
2020,FIN,Transport concrete (reinforced)_Interior wall,0.0
2020,FIN,Transport concrete (reinforced)_Roof,0.0
2020,FIN,Transport concrete (reinforced)_Floor,0.0
2020,FIN,Transport concrete (reinforced)_Basement wall,0.0
2020,FIN,Transport concrete (reinforced)_Basement ceiling,0.0
2020,FIN,Transport concrete (reinforced)_Basement ground floor,0.0
2020,FIN,Transport concrete (reinforced)_Foundation,0.0
2020,FIN,Transport concrete (not reinforced)_Exterior wall,0.0
2020,FIN,Transport concrete (not reinforced)_Interior load-bearing wall,0.0
2020,FIN,Transport concrete (not reinforced)_Interior wall,0.0
2020,FIN,Transport concrete (not reinforced)_Roof,0.0
2020,FIN,Transport concrete (not reinforced)_Floor,0.0
2020,FIN,Transport concrete (not reinforced)_Basement wall,0.0
2020,FIN,Transport concrete (not reinforced)_Basement ceiling,0.0
2020,FIN,Transport concrete (not reinforced)_Basement ground floor,0.0
2020,FIN,Transport concrete (not reinforced)_Foundation,0.0
2020,FIN,Precast concrete (reinforced)_Exterior wall,0.0
2020,FIN,Precast concrete (reinforced)_Interior load-bearing wall,0.0
2020,FIN,Precast concrete (reinforced)_Interior wall,0.0
2020,FIN,Precast concrete (reinforced)_Roof,0.0
2020,FIN,Precast concrete (reinforced)_Floor,0.0
