Region;Building type;Age cohort;Steel product;value
CZE;Ret;>1945;Non-metallic coated sheet and strip;0
CZE;Ret;>1945;Welded tubes;0
CZE;Ret;>1945;Liquid steel;0
CZE;Ret;1945-1969;Concrete reinforcing bars in transport concrete;0
CZE;Ret;1945-1969;Concrete reinforcing bars in precast concrete;0
CZE;Ret;1945-1969;Hot rolled bars;0
CZE;Ret;1945-1969;Wire rod;0
CZE;Ret;1945-1969;Railway track material;0
CZE;Ret;1945-1969;Heavy sections;0
CZE;Ret;1945-1969;Light sections;0
CZE;Ret;1945-1969;Seamless tubes;0
CZE;Ret;1945-1969;Hot rolled plate;0
CZE;Ret;1945-1969;Hot rolled coild, sheet and strip;0
CZE;Ret;1945-1969;Electrical sheet and strip;0
CZE;Ret;1945-1969;Tinmill products;0
CZE;Ret;1945-1969;Other metal coated sheet and strip;0
CZE;Ret;1945-1969;Non-metallic coated sheet and strip;0
CZE;Ret;1945-1969;Welded tubes;0
CZE;Ret;1945-1969;Liquid steel;0
CZE;Ret;1970-1989;Concrete reinforcing bars in transport concrete;66.60873171
CZE;Ret;1970-1989;Concrete reinforcing bars in precast concrete;30.63029268
CZE;Ret;1970-1989;Hot rolled bars;0
CZE;Ret;1970-1989;Wire rod;0
CZE;Ret;1970-1989;Railway track material;0
CZE;Ret;1970-1989;Heavy sections;0
CZE;Ret;1970-1989;Light sections;0
CZE;Ret;1970-1989;Seamless tubes;0
CZE;Ret;1970-1989;Hot rolled plate;0
CZE;Ret;1970-1989;Hot rolled coild, sheet and strip;0
CZE;Ret;1970-1989;Electrical sheet and strip;0
CZE;Ret;1970-1989;Tinmill products;0
CZE;Ret;1970-1989;Other metal coated sheet and strip;0
CZE;Ret;1970-1989;Non-metallic coated sheet and strip;0
CZE;Ret;1970-1989;Welded tubes;0
CZE;Ret;1970-1989;Liquid steel;0
CZE;Ret;1990-2010;Concrete reinforcing bars in transport concrete;66.60873171
CZE;Ret;1990-2010;Concrete reinforcing bars in precast concrete;30.63029268
CZE;Ret;1990-2010;Hot rolled bars;0
CZE;Ret;1990-2010;Wire rod;0
CZE;Ret;1990-2010;Railway track material;0
CZE;Ret;1990-2010;Heavy sections;0
CZE;Ret;1990-2010;Light sections;0
CZE;Ret;1990-2010;Seamless tubes;0
CZE;Ret;1990-2010;Hot rolled plate;0
CZE;Ret;1990-2010;Hot rolled coild, sheet and strip;0
CZE;Ret;1990-2010;Electrical sheet and strip;0
CZE;Ret;1990-2010;Tinmill products;0
CZE;Ret;1990-2010;Other metal coated sheet and strip;0
CZE;Ret;1990-2010;Non-metallic coated sheet and strip;0
CZE;Ret;1990-2010;Welded tubes;0
CZE;Ret;1990-2010;Liquid steel;0
CZE;Ret;2011-2020;Concrete reinforcing bars in transport concrete;46.77983307
CZE;Ret;2011-2020;Concrete reinforcing bars in precast concrete;21.51189404
CZE;Ret;2011-2020;Hot rolled bars;0
CZE;Ret;2011-2020;Wire rod;0
CZE;Ret;2011-2020;Railway track material;0
CZE;Ret;2011-2020;Heavy sections;0
CZE;Ret;2011-2020;Light sections;0
CZE;Ret;2011-2020;Seamless tubes;0
CZE;Ret;2011-2020;Hot rolled plate;0
CZE;Ret;2011-2020;Hot rolled coild, sheet and strip;0
CZE;Ret;2011-2020;Electrical sheet and strip;0
CZE;Ret;2011-2020;Tinmill products;0
CZE;Ret;2011-2020;Other metal coated sheet and strip;0
CZE;Ret;2011-2020;Non-metallic coated sheet and strip;0
CZE;Ret;2011-2020;Welded tubes;0
CZE;Ret;2011-2020;Liquid steel;0
CZE;Ret;2021-2030;Concrete reinforcing bars in transport concrete;46.77983307
CZE;Ret;2021-2030;Concrete reinforcing bars in precast concrete;21.51189404
CZE;Ret;2021-2030;Hot rolled bars;0
CZE;Ret;2021-2030;Wire rod;0
CZE;Ret;2021-2030;Railway track material;0
CZE;Ret;2021-2030;Heavy sections;0
CZE;Ret;2021-2030;Light sections;0
CZE;Ret;2021-2030;Seamless tubes;0
CZE;Ret;2021-2030;Hot rolled plate;0
CZE;Ret;2021-2030;Hot rolled coild, sheet and strip;0
CZE;Ret;2021-2030;Electrical sheet and strip;0
CZE;Ret;2021-2030;Tinmill products;0
CZE;Ret;2021-2030;Other metal coated sheet and strip;0
CZE;Ret;2021-2030;Non-metallic coated sheet and strip;0
CZE;Ret;2021-2030;Welded tubes;0
CZE;Ret;2021-2030;Liquid steel;0
CZE;Ret;2031-2040;Concrete reinforcing bars in transport concrete;46.77983307
CZE;Ret;2031-2040;Concrete reinforcing bars in precast concrete;21.51189404
CZE;Ret;2031-2040;Hot rolled bars;0
CZE;Ret;2031-2040;Wire rod;0
CZE;Ret;2031-2040;Railway track material;0
CZE;Ret;2031-2040;Heavy sections;0
CZE;Ret;2031-2040;Light sections;0
CZE;Ret;2031-2040;Seamless tubes;0
CZE;Ret;2031-2040;Hot rolled plate;0
CZE;Ret;2031-2040;Hot rolled coild, sheet and strip;0
CZE;Ret;2031-2040;Electrical sheet and strip;0
CZE;Ret;2031-2040;Tinmill products;0
CZE;Ret;2031-2040;Other metal coated sheet and strip;0
CZE;Ret;2031-2040;Non-metallic coated sheet and strip;0
CZE;Ret;2031-2040;Welded tubes;0
CZE;Ret;2031-2040;Liquid steel;0
CZE;Ret;2040<;Concrete reinforcing bars in transport concrete;46.77983307
CZE;Ret;2040<;Concrete reinforcing bars in precast concrete;21.51189404
CZE;Ret;2040<;Hot rolled bars;0
CZE;Ret;2040<;Wire rod;0
CZE;Ret;2040<;Railway track material;0
CZE;Ret;2040<;Heavy sections;0
CZE;Ret;2040<;Light sections;0
CZE;Ret;2040<;Seamless tubes;0
CZE;Ret;2040<;Hot rolled plate;0
CZE;Ret;2040<;Hot rolled coild, sheet and strip;0
CZE;Ret;2040<;Electrical sheet and strip;0
CZE;Ret;2040<;Tinmill products;0
CZE;Ret;2040<;Other metal coated sheet and strip;0
CZE;Ret;2040<;Non-metallic coated sheet and strip;0
CZE;Ret;2040<;Welded tubes;0
CZE;Ret;2040<;Liquid steel;0
CZE;Off;>1945;Concrete reinforcing bars in transport concrete;0
CZE;Off;>1945;Concrete reinforcing bars in precast concrete;0
CZE;Off;>1945;Hot rolled bars;0
CZE;Off;>1945;Wire rod;0
CZE;Off;>1945;Railway track material;0
CZE;Off;>1945;Heavy sections;0
CZE;Off;>1945;Light sections;0
CZE;Off;>1945;Seamless tubes;0
CZE;Off;>1945;Hot rolled plate;0
CZE;Off;>1945;Hot rolled coild, sheet and strip;0
CZE;Off;>1945;Electrical sheet and strip;0
CZE;Off;>1945;Tinmill products;0
CZE;Off;>1945;Other metal coated sheet and strip;0
CZE;Off;>1945;Non-metallic coated sheet and strip;0
CZE;Off;>1945;Welded tubes;0
CZE;Off;>1945;Liquid steel;0
CZE;Off;1945-1969;Concrete reinforcing bars in transport concrete;21.92
CZE;Off;1945-1969;Concrete reinforcing bars in precast concrete;10.08
CZE;Off;1945-1969;Hot rolled bars;0
CZE;Off;1945-1969;Wire rod;0
CZE;Off;1945-1969;Railway track material;0
CZE;Off;1945-1969;Heavy sections;0
CZE;Off;1945-1969;Light sections;0
CZE;Off;1945-1969;Seamless tubes;0
CZE;Off;1945-1969;Hot rolled plate;0
CZE;Off;1945-1969;Hot rolled coild, sheet and strip;0
CZE;Off;1945-1969;Electrical sheet and strip;0
CZE;Off;1945-1969;Tinmill products;0
CZE;Off;1945-1969;Other metal coated sheet and strip;0
CZE;Off;1945-1969;Non-metallic coated sheet and strip;0
CZE;Off;1945-1969;Welded tubes;0
CZE;Off;1945-1969;Liquid steel;0
CZE;Off;1970-1989;Concrete reinforcing bars in transport concrete;52.41656168
CZE;Off;1970-1989;Concrete reinforcing bars in precast concrete;24.10396632
CZE;Off;1970-1989;Hot rolled bars;0
CZE;Off;1970-1989;Wire rod;0
CZE;Off;1970-1989;Railway track material;0
CZE;Off;1970-1989;Heavy sections;0
CZE;Off;1970-1989;Light sections;0
CZE;Off;1970-1989;Seamless tubes;0
CZE;Off;1970-1989;Hot rolled plate;0
CZE;Off;1970-1989;Hot rolled coild, sheet and strip;0
CZE;Off;1970-1989;Electrical sheet and strip;0
CZE;Off;1970-1989;Tinmill products;0
CZE;Off;1970-1989;Other metal coated sheet and strip;0
CZE;Off;1970-1989;Non-metallic coated sheet and strip;0
CZE;Off;1970-1989;Welded tubes;0
CZE;Off;1970-1989;Liquid steel;0
CZE;Off;1990-2010;Concrete reinforcing bars in transport concrete;79.5569275
CZE;Off;1990-2010;Concrete reinforcing bars in precast concrete;36.5845725
CZE;Off;1990-2010;Hot rolled bars;0
CZE;Off;1990-2010;Wire rod;0
CZE;Off;1990-2010;Railway track material;0
CZE;Off;1990-2010;Heavy sections;0
CZE;Off;1990-2010;Light sections;0
CZE;Off;1990-2010;Seamless tubes;0
CZE;Off;1990-2010;Hot rolled plate;0
CZE;Off;1990-2010;Hot rolled coild, sheet and strip;0
CZE;Off;1990-2010;Electrical sheet and strip;0
CZE;Off;1990-2010;Tinmill products;0
CZE;Off;1990-2010;Other metal coated sheet and strip;0
CZE;Off;1990-2010;Non-metallic coated sheet and strip;0
CZE;Off;1990-2010;Welded tubes;0
CZE;Off;1990-2010;Liquid steel;0
CZE;Off;2011-2020;Concrete reinforcing bars in transport concrete;79.5569275
CZE;Off;2011-2020;Concrete reinforcing bars in precast concrete;36.5845725
CZE;Off;2011-2020;Hot rolled bars;0
CZE;Off;2011-2020;Wire rod;0
CZE;Off;2011-2020;Railway track material;0
CZE;Off;2011-2020;Heavy sections;0
CZE;Off;2011-2020;Light sections;0
CZE;Off;2011-2020;Seamless tubes;0
CZE;Off;2011-2020;Hot rolled plate;0
CZE;Off;2011-2020;Hot rolled coild, sheet and strip;0
CZE;Off;2011-2020;Electrical sheet and strip;0
CZE;Off;2011-2020;Tinmill products;0
CZE;Off;2011-2020;Other metal coated sheet and strip;0
CZE;Off;2011-2020;Non-metallic coated sheet and strip;0
CZE;Off;2011-2020;Welded tubes;0
CZE;Off;2011-2020;Liquid steel;0
CZE;Off;2021-2030;Concrete reinforcing bars in transport concrete;79.5569275
CZE;Off;2021-2030;Concrete reinforcing bars in precast concrete;36.5845725
CZE;Off;2021-2030;Hot rolled bars;0
CZE;Off;2021-2030;Wire rod;0
CZE;Off;2021-2030;Railway track material;0
CZE;Off;2021-2030;Heavy sections;0
CZE;Off;2021-2030;Light sections;0
CZE;Off;2021-2030;Seamless tubes;0
CZE;Off;2021-2030;Hot rolled plate;0
CZE;Off;2021-2030;Hot rolled coild, sheet and strip;0
CZE;Off;2021-2030;Electrical sheet and strip;0
CZE;Off;2021-2030;Tinmill products;0
CZE;Off;2021-2030;Other metal coated sheet and strip;0
CZE;Off;2021-2030;Non-metallic coated sheet and strip;0
CZE;Off;2021-2030;Welded tubes;0
CZE;Off;2021-2030;Liquid steel;0
CZE;Off;2031-2040;Concrete reinforcing bars in transport concrete;79.5569275
CZE;Off;2031-2040;Concrete reinforcing bars in precast concrete;36.5845725
CZE;Off;2031-2040;Hot rolled bars;0
CZE;Off;2031-2040;Wire rod;0
CZE;Off;2031-2040;Railway track material;0
CZE;Off;2031-2040;Heavy sections;0
CZE;Off;2031-2040;Light sections;0
CZE;Off;2031-2040;Seamless tubes;0
CZE;Off;2031-2040;Hot rolled plate;0
CZE;Off;2031-2040;Hot rolled coild, sheet and strip;0
CZE;Off;2031-2040;Electrical sheet and strip;0
CZE;Off;2031-2040;Tinmill products;0
CZE;Off;2031-2040;Other metal coated sheet and strip;0
CZE;Off;2031-2040;Non-metallic coated sheet and strip;0
CZE;Off;2031-2040;Welded tubes;0
CZE;Off;2031-2040;Liquid steel;0
CZE;Off;2040<;Concrete reinforcing bars in transport concrete;79.5569275
CZE;Off;2040<;Concrete reinforcing bars in precast concrete;36.5845725
CZE;Off;2040<;Hot rolled bars;0
CZE;Off;2040<;Wire rod;0
CZE;Off;2040<;Railway track material;0
CZE;Off;2040<;Heavy sections;0
CZE;Off;2040<;Light sections;0
CZE;Off;2040<;Seamless tubes;0
CZE;Off;2040<;Hot rolled plate;0
CZE;Off;2040<;Hot rolled coild, sheet and strip;0
CZE;Off;2040<;Electrical sheet and strip;0
CZE;Off;2040<;Tinmill products;0
CZE;Off;2040<;Other metal coated sheet and strip;0
CZE;Off;2040<;Non-metallic coated sheet and strip;0
CZE;Off;2040<;Welded tubes;0
CZE;Off;2040<;Liquid steel;0
CZE;Hot;>1945;Concrete reinforcing bars in transport concrete;0
CZE;Hot;>1945;Concrete reinforcing bars in precast concrete;0
CZE;Hot;>1945;Hot rolled bars;0
CZE;Hot;>1945;Wire rod;0
CZE;Hot;>1945;Railway track material;0
CZE;Hot;>1945;Heavy sections;0
CZE;Hot;>1945;Light sections;0
CZE;Hot;>1945;Seamless tubes;0
CZE;Hot;>1945;Hot rolled plate;0
CZE;Hot;>1945;Hot rolled coild, sheet and strip;0
CZE;Hot;>1945;Electrical sheet and strip;0
CZE;Hot;>1945;Tinmill products;0
CZE;Hot;>1945;Other metal coated sheet and strip;0
CZE;Hot;>1945;Non-metallic coated sheet and strip;0
CZE;Hot;>1945;Welded tubes;0
CZE;Hot;>1945;Liquid steel;0
CZE;Hot;1945-1969;Concrete reinforcing bars in transport concrete;21.92
CZE;Hot;1945-1969;Concrete reinforcing bars in precast concrete;10.08
CZE;Hot;1945-1969;Hot rolled bars;0
CZE;Hot;1945-1969;Wire rod;0
CZE;Hot;1945-1969;Railway track material;0
CZE;Hot;1945-1969;Heavy sections;0
CZE;Hot;1945-1969;Light sections;0
CZE;Hot;1945-1969;Seamless tubes;0
CZE;Hot;1945-1969;Hot rolled plate;0
CZE;Hot;1945-1969;Hot rolled coild, sheet and strip;0
CZE;Hot;1945-1969;Electrical sheet and strip;0
CZE;Hot;1945-1969;Tinmill products;0
CZE;Hot;1945-1969;Other metal coated sheet and strip;0
CZE;Hot;1945-1969;Non-metallic coated sheet and strip;0
CZE;Hot;1945-1969;Welded tubes;0
CZE;Hot;1945-1969;Liquid steel;0
CZE;Hot;1970-1989;Concrete reinforcing bars in transport concrete;52.41656168
CZE;Hot;1970-1989;Concrete reinforcing bars in precast concrete;24.10396632
CZE;Hot;1970-1989;Hot rolled bars;0
CZE;Hot;1970-1989;Wire rod;0
CZE;Hot;1970-1989;Railway track material;0
CZE;Hot;1970-1989;Heavy sections;0
CZE;Hot;1970-1989;Light sections;0
CZE;Hot;1970-1989;Seamless tubes;0
CZE;Hot;1970-1989;Hot rolled plate;0
CZE;Hot;1970-1989;Hot rolled coild, sheet and strip;0
CZE;Hot;1970-1989;Electrical sheet and strip;0
CZE;Hot;1970-1989;Tinmill products;0
CZE;Hot;1970-1989;Other metal coated sheet and strip;0
CZE;Hot;1970-1989;Non-metallic coated sheet and strip;0
CZE;Hot;1970-1989;Welded tubes;0
CZE;Hot;1970-1989;Liquid steel;0
CZE;Hot;1990-2010;Concrete reinforcing bars in transport concrete;79.5569275
CZE;Hot;1990-2010;Concrete reinforcing bars in precast concrete;36.5845725
CZE;Hot;1990-2010;Hot rolled bars;0
CZE;Hot;1990-2010;Wire rod;0
CZE;Hot;1990-2010;Railway track material;0
CZE;Hot;1990-2010;Heavy sections;0
CZE;Hot;1990-2010;Light sections;0
CZE;Hot;1990-2010;Seamless tubes;0
CZE;Hot;1990-2010;Hot rolled plate;0
CZE;Hot;1990-2010;Hot rolled coild, sheet and strip;0
CZE;Hot;1990-2010;Electrical sheet and strip;0
CZE;Hot;1990-2010;Tinmill products;0
CZE;Hot;1990-2010;Other metal coated sheet and strip;0
CZE;Hot;1990-2010;Non-metallic coated sheet and strip;0
CZE;Hot;1990-2010;Welded tubes;0
CZE;Hot;1990-2010;Liquid steel;0
CZE;Hot;2011-2020;Concrete reinforcing bars in transport concrete;79.5569275
CZE;Hot;2011-2020;Concrete reinforcing bars in precast concrete;36.5845725
CZE;Hot;2011-2020;Hot rolled bars;0
CZE;Hot;2011-2020;Wire rod;0
CZE;Hot;2011-2020;Railway track material;0
CZE;Hot;2011-2020;Heavy sections;0
CZE;Hot;2011-2020;Light sections;0
CZE;Hot;2011-2020;Seamless tubes;0
CZE;Hot;2011-2020;Hot rolled plate;0
CZE;Hot;2011-2020;Hot rolled coild, sheet and strip;0
CZE;Hot;2011-2020;Electrical sheet and strip;0
CZE;Hot;2011-2020;Tinmill products;0
CZE;Hot;2011-2020;Other metal coated sheet and strip;0
CZE;Hot;2011-2020;Non-metallic coated sheet and strip;0
CZE;Hot;2011-2020;Welded tubes;0
CZE;Hot;2011-2020;Liquid steel;0
CZE;Hot;2021-2030;Concrete reinforcing bars in transport concrete;79.5569275
CZE;Hot;2021-2030;Concrete reinforcing bars in precast concrete;36.5845725
CZE;Hot;2021-2030;Hot rolled bars;0
CZE;Hot;2021-2030;Wire rod;0
CZE;Hot;2021-2030;Railway track material;0
CZE;Hot;2021-2030;Heavy sections;0
CZE;Hot;2021-2030;Light sections;0
CZE;Hot;2021-2030;Seamless tubes;0
CZE;Hot;2021-2030;Hot rolled plate;0
CZE;Hot;2021-2030;Hot rolled coild, sheet and strip;0
CZE;Hot;2021-2030;Electrical sheet and strip;0
CZE;Hot;2021-2030;Tinmill products;0
CZE;Hot;2021-2030;Other metal coated sheet and strip;0
CZE;Hot;2021-2030;Non-metallic coated sheet and strip;0
CZE;Hot;2021-2030;Welded tubes;0
CZE;Hot;2021-2030;Liquid steel;0
CZE;Hot;2031-2040;Concrete reinforcing bars in transport concrete;79.5569275
CZE;Hot;2031-2040;Concrete reinforcing bars in precast concrete;36.5845725
CZE;Hot;2031-2040;Hot rolled bars;0
CZE;Hot;2031-2040;Wire rod;0
CZE;Hot;2031-2040;Railway track material;0
CZE;Hot;2031-2040;Heavy sections;0
CZE;Hot;2031-2040;Light sections;0
CZE;Hot;2031-2040;Seamless tubes;0
CZE;Hot;2031-2040;Hot rolled plate;0
CZE;Hot;2031-2040;Hot rolled coild, sheet and strip;0
CZE;Hot;2031-2040;Electrical sheet and strip;0
CZE;Hot;2031-2040;Tinmill products;0
CZE;Hot;2031-2040;Other metal coated sheet and strip;0
CZE;Hot;2031-2040;Non-metallic coated sheet and strip;0
CZE;Hot;2031-2040;Welded tubes;0
CZE;Hot;2031-2040;Liquid steel;0
CZE;Hot;2040<;Concrete reinforcing bars in transport concrete;79.5569275
CZE;Hot;2040<;Concrete reinforcing bars in precast concrete;36.5845725
CZE;Hot;2040<;Hot rolled bars;0
CZE;Hot;2040<;Wire rod;0
CZE;Hot;2040<;Railway track material;0
CZE;Hot;2040<;Heavy sections;0
CZE;Hot;2040<;Light sections;0
CZE;Hot;2040<;Seamless tubes;0
CZE;Hot;2040<;Hot rolled plate;0
CZE;Hot;2040<;Hot rolled coild, sheet and strip;0
CZE;Hot;2040<;Electrical sheet and strip;0
CZE;Hot;2040<;Tinmill products;0
CZE;Hot;2040<;Other metal coated sheet and strip;0
CZE;Hot;2040<;Non-metallic coated sheet and strip;0
CZE;Hot;2040<;Welded tubes;0
CZE;Hot;2040<;Liquid steel;0
CZE;Edu;>1945;Concrete reinforcing bars in transport concrete;0
CZE;Edu;>1945;Concrete reinforcing bars in precast concrete;0
CZE;Edu;>1945;Hot rolled bars;0
CZE;Edu;>1945;Wire rod;0
CZE;Edu;>1945;Railway track material;0
CZE;Edu;>1945;Heavy sections;0
CZE;Edu;>1945;Light sections;0
CZE;Edu;>1945;Seamless tubes;0
CZE;Edu;>1945;Hot rolled plate;0
CZE;Edu;>1945;Hot rolled coild, sheet and strip;0
CZE;Edu;>1945;Electrical sheet and strip;0
CZE;Edu;>1945;Tinmill products;0
CZE;Edu;>1945;Other metal coated sheet and strip;0
CZE;Edu;>1945;Non-metallic coated sheet and strip;0
CZE;Edu;>1945;Welded tubes;0
CZE;Edu;>1945;Liquid steel;0
CZE;Edu;1945-1969;Concrete reinforcing bars in transport concrete;21.92
CZE;Edu;1945-1969;Concrete reinforcing bars in precast concrete;10.08
CZE;Edu;1945-1969;Hot rolled bars;0
CZE;Edu;1945-1969;Wire rod;0
CZE;Edu;1945-1969;Railway track material;0
CZE;Edu;1945-1969;Heavy sections;0
CZE;Edu;1945-1969;Light sections;0
CZE;Edu;1945-1969;Seamless tubes;0
CZE;Edu;1945-1969;Hot rolled plate;0
CZE;Edu;1945-1969;Hot rolled coild, sheet and strip;0
CZE;Edu;1945-1969;Electrical sheet and strip;0
CZE;Edu;1945-1969;Tinmill products;0
CZE;Edu;1945-1969;Other metal coated sheet and strip;0
CZE;Edu;1945-1969;Non-metallic coated sheet and strip;0
CZE;Edu;1945-1969;Welded tubes;0
CZE;Edu;1945-1969;Liquid steel;0
CZE;Edu;1970-1989;Concrete reinforcing bars in transport concrete;52.41656168
CZE;Edu;1970-1989;Concrete reinforcing bars in precast concrete;24.10396632
CZE;Edu;1970-1989;Hot rolled bars;0
CZE;Edu;1970-1989;Wire rod;0
CZE;Edu;1970-1989;Railway track material;0
CZE;Edu;1970-1989;Heavy sections;0
CZE;Edu;1970-1989;Light sections;0
CZE;Edu;1970-1989;Seamless tubes;0
CZE;Edu;1970-1989;Hot rolled plate;0
CZE;Edu;1970-1989;Hot rolled coild, sheet and strip;0
CZE;Edu;1970-1989;Electrical sheet and strip;0
CZE;Edu;1970-1989;Tinmill products;0
CZE;Edu;1970-1989;Other metal coated sheet and strip;0
CZE;Edu;1970-1989;Non-metallic coated sheet and strip;0
CZE;Edu;1970-1989;Welded tubes;0
CZE;Edu;1970-1989;Liquid steel;0
CZE;Edu;1990-2010;Concrete reinforcing bars in transport concrete;79.5569275
CZE;Edu;1990-2010;Concrete reinforcing bars in precast concrete;36.5845725
CZE;Edu;1990-2010;Hot rolled bars;0
CZE;Edu;1990-2010;Wire rod;0
CZE;Edu;1990-2010;Railway track material;0
CZE;Edu;1990-2010;Heavy sections;0
CZE;Edu;1990-2010;Light sections;0
CZE;Edu;1990-2010;Seamless tubes;0
CZE;Edu;1990-2010;Hot rolled plate;0
CZE;Edu;1990-2010;Hot rolled coild, sheet and strip;0
CZE;Edu;1990-2010;Electrical sheet and strip;0
CZE;Edu;1990-2010;Tinmill products;0
CZE;Edu;1990-2010;Other metal coated sheet and strip;0
CZE;Edu;1990-2010;Non-metallic coated sheet and strip;0
CZE;Edu;1990-2010;Welded tubes;0
CZE;Edu;1990-2010;Liquid steel;0
CZE;Edu;2011-2020;Concrete reinforcing bars in transport concrete;79.5569275
CZE;Edu;2011-2020;Concrete reinforcing bars in precast concrete;36.5845725
CZE;Edu;2011-2020;Hot rolled bars;0
CZE;Edu;2011-2020;Wire rod;0
CZE;Edu;2011-2020;Railway track material;0
CZE;Edu;2011-2020;Heavy sections;0
CZE;Edu;2011-2020;Light sections;0
CZE;Edu;2011-2020;Seamless tubes;0
CZE;Edu;2011-2020;Hot rolled plate;0
CZE;Edu;2011-2020;Hot rolled coild, sheet and strip;0
CZE;Edu;2011-2020;Electrical sheet and strip;0
CZE;Edu;2011-2020;Tinmill products;0
CZE;Edu;2011-2020;Other metal coated sheet and strip;0
CZE;Edu;2011-2020;Non-metallic coated sheet and strip;0
CZE;Edu;2011-2020;Welded tubes;0
CZE;Edu;2011-2020;Liquid steel;0
CZE;Edu;2021-2030;Concrete reinforcing bars in transport concrete;79.5569275
CZE;Edu;2021-2030;Concrete reinforcing bars in precast concrete;36.5845725
CZE;Edu;2021-2030;Hot rolled bars;0
CZE;Edu;2021-2030;Wire rod;0
CZE;Edu;2021-2030;Railway track material;0
CZE;Edu;2021-2030;Heavy sections;0
CZE;Edu;2021-2030;Light sections;0
CZE;Edu;2021-2030;Seamless tubes;0
CZE;Edu;2021-2030;Hot rolled plate;0
CZE;Edu;2021-2030;Hot rolled coild, sheet and strip;0
CZE;Edu;2021-2030;Electrical sheet and strip;0
CZE;Edu;2021-2030;Tinmill products;0
CZE;Edu;2021-2030;Other metal coated sheet and strip;0
CZE;Edu;2021-2030;Non-metallic coated sheet and strip;0
CZE;Edu;2021-2030;Welded tubes;0
CZE;Edu;2021-2030;Liquid steel;0
CZE;Edu;2031-2040;Concrete reinforcing bars in transport concrete;79.5569275
CZE;Edu;2031-2040;Concrete reinforcing bars in precast concrete;36.5845725
CZE;Edu;2031-2040;Hot rolled bars;0
CZE;Edu;2031-2040;Wire rod;0
CZE;Edu;2031-2040;Railway track material;0
CZE;Edu;2031-2040;Heavy sections;0
CZE;Edu;2031-2040;Light sections;0
CZE;Edu;2031-2040;Seamless tubes;0
CZE;Edu;2031-2040;Hot rolled plate;0
CZE;Edu;2031-2040;Hot rolled coild, sheet and strip;0
CZE;Edu;2031-2040;Electrical sheet and strip;0
CZE;Edu;2031-2040;Tinmill products;0
CZE;Edu;2031-2040;Other metal coated sheet and strip;0
CZE;Edu;2031-2040;Non-metallic coated sheet and strip;0
CZE;Edu;2031-2040;Welded tubes;0
CZE;Edu;2031-2040;Liquid steel;0
CZE;Edu;2040<;Concrete reinforcing bars in transport concrete;79.5569275
CZE;Edu;2040<;Concrete reinforcing bars in precast concrete;36.5845725
CZE;Edu;2040<;Hot rolled bars;0
CZE;Edu;2040<;Wire rod;0
CZE;Edu;2040<;Railway track material;0
CZE;Edu;2040<;Heavy sections;0
CZE;Edu;2040<;Light sections;0
CZE;Edu;2040<;Seamless tubes;0
CZE;Edu;2040<;Hot rolled plate;0
CZE;Edu;2040<;Hot rolled coild, sheet and strip;0
CZE;Edu;2040<;Electrical sheet and strip;0
