Time,Region simple,Concrete product simple,End use sector,value
1992,EU28,Precast concrete,Infrastructure,0.0
1993,EU28,Transport concrete,Buildings,0.0
1993,EU28,Transport concrete,Infrastructure,0.0
1993,EU28,Precast concrete,Buildings,0.0
1993,EU28,Precast concrete,Infrastructure,0.0
1994,EU28,Transport concrete,Buildings,0.0
1994,EU28,Transport concrete,Infrastructure,0.0
1994,EU28,Precast concrete,Buildings,0.0
1994,EU28,Precast concrete,Infrastructure,0.0
1995,EU28,Transport concrete,Buildings,0.0
1995,EU28,Transport concrete,Infrastructure,0.0
1995,EU28,Precast concrete,Buildings,0.0
1995,EU28,Precast concrete,Infrastructure,0.0
1996,EU28,Transport concrete,Buildings,0.0
1996,EU28,Transport concrete,Infrastructure,0.0
1996,EU28,Precast concrete,Buildings,0.0
1996,EU28,Precast concrete,Infrastructure,0.0
1997,EU28,Transport concrete,Buildings,0.0
1997,EU28,Transport concrete,Infrastructure,0.0
1997,EU28,Precast concrete,Buildings,0.0
1997,EU28,Precast concrete,Infrastructure,0.0
1998,EU28,Transport concrete,Buildings,0.0
1998,EU28,Transport concrete,Infrastructure,0.0
1998,EU28,Precast concrete,Buildings,0.0
1998,EU28,Precast concrete,Infrastructure,0.0
1999,EU28,Transport concrete,Buildings,0.0
1999,EU28,Transport concrete,Infrastructure,0.0
1999,EU28,Precast concrete,Buildings,0.0
1999,EU28,Precast concrete,Infrastructure,0.0
2000,EU28,Transport concrete,Buildings,0.0
2000,EU28,Transport concrete,Infrastructure,0.0
2000,EU28,Precast concrete,Buildings,0.0
2000,EU28,Precast concrete,Infrastructure,0.0
2001,EU28,Transport concrete,Buildings,0.0
2001,EU28,Transport concrete,Infrastructure,0.0
2001,EU28,Precast concrete,Buildings,0.0
2001,EU28,Precast concrete,Infrastructure,0.0
2002,EU28,Transport concrete,Buildings,0.0
2002,EU28,Transport concrete,Infrastructure,0.0
2002,EU28,Precast concrete,Buildings,0.0
2002,EU28,Precast concrete,Infrastructure,0.0
2003,EU28,Transport concrete,Buildings,0.0
2003,EU28,Transport concrete,Infrastructure,0.0
2003,EU28,Precast concrete,Buildings,0.0
2003,EU28,Precast concrete,Infrastructure,0.0
2004,EU28,Transport concrete,Buildings,0.0
2004,EU28,Transport concrete,Infrastructure,0.0
2004,EU28,Precast concrete,Buildings,0.0
2004,EU28,Precast concrete,Infrastructure,0.0
2005,EU28,Transport concrete,Buildings,0.0
2005,EU28,Transport concrete,Infrastructure,0.0
2005,EU28,Precast concrete,Buildings,0.0
2005,EU28,Precast concrete,Infrastructure,0.0
2006,EU28,Transport concrete,Buildings,0.0
2006,EU28,Transport concrete,Infrastructure,0.0
2006,EU28,Precast concrete,Buildings,0.0
2006,EU28,Precast concrete,Infrastructure,0.0
2007,EU28,Transport concrete,Buildings,0.0
2007,EU28,Transport concrete,Infrastructure,0.0
2007,EU28,Precast concrete,Buildings,0.0
2007,EU28,Precast concrete,Infrastructure,0.0
2008,EU28,Transport concrete,Buildings,0.0
2008,EU28,Transport concrete,Infrastructure,0.0
2008,EU28,Precast concrete,Buildings,0.0
2008,EU28,Precast concrete,Infrastructure,0.0
2009,EU28,Transport concrete,Buildings,0.0
2009,EU28,Transport concrete,Infrastructure,0.0
2009,EU28,Precast concrete,Buildings,0.0
2009,EU28,Precast concrete,Infrastructure,0.0
2010,EU28,Transport concrete,Buildings,0.0
2010,EU28,Transport concrete,Infrastructure,0.0
2010,EU28,Precast concrete,Buildings,0.0
2010,EU28,Precast concrete,Infrastructure,0.0
2011,EU28,Transport concrete,Buildings,0.0
2011,EU28,Transport concrete,Infrastructure,0.0
2011,EU28,Precast concrete,Buildings,0.0
2011,EU28,Precast concrete,Infrastructure,0.0
2012,EU28,Transport concrete,Buildings,0.0
2012,EU28,Transport concrete,Infrastructure,0.0
2012,EU28,Precast concrete,Buildings,0.0
2012,EU28,Precast concrete,Infrastructure,0.0
2013,EU28,Transport concrete,Buildings,0.0
2013,EU28,Transport concrete,Infrastructure,0.0
2013,EU28,Precast concrete,Buildings,0.0
2013,EU28,Precast concrete,Infrastructure,0.0
2014,EU28,Transport concrete,Buildings,0.0
2014,EU28,Transport concrete,Infrastructure,0.0
2014,EU28,Precast concrete,Buildings,0.0
2014,EU28,Precast concrete,Infrastructure,0.0
2015,EU28,Transport concrete,Buildings,0.0
2015,EU28,Transport concrete,Infrastructure,0.0
2015,EU28,Precast concrete,Buildings,0.0
2015,EU28,Precast concrete,Infrastructure,0.0
2016,EU28,Transport concrete,Buildings,0.0
2016,EU28,Transport concrete,Infrastructure,0.0
2016,EU28,Precast concrete,Buildings,0.0
2016,EU28,Precast concrete,Infrastructure,0.0
2017,EU28,Transport concrete,Buildings,0.0
2017,EU28,Transport concrete,Infrastructure,0.0
2017,EU28,Precast concrete,Buildings,0.0
2017,EU28,Precast concrete,Infrastructure,0.0
2018,EU28,Transport concrete,Buildings,0.0
2018,EU28,Transport concrete,Infrastructure,0.0
2018,EU28,Precast concrete,Buildings,0.0
2018,EU28,Precast concrete,Infrastructure,0.0
2019,EU28,Transport concrete,Buildings,0.0
2019,EU28,Transport concrete,Infrastructure,0.0
2019,EU28,Precast concrete,Buildings,0.0
2019,EU28,Precast concrete,Infrastructure,0.0
2020,EU28,Transport concrete,Buildings,0.0
2020,EU28,Transport concrete,Infrastructure,0.0
2020,EU28,Precast concrete,Buildings,0.0
2020,EU28,Precast concrete,Infrastructure,0.0
2021,EU28,Transport concrete,Buildings,0.0
2021,EU28,Transport concrete,Infrastructure,0.0
2021,EU28,Precast concrete,Buildings,0.0
2021,EU28,Precast concrete,Infrastructure,0.0
2022,EU28,Transport concrete,Buildings,0.0
2022,EU28,Transport concrete,Infrastructure,0.0
2022,EU28,Precast concrete,Buildings,0.0
2022,EU28,Precast concrete,Infrastructure,0.0
2023,EU28,Transport concrete,Buildings,3004819595.0995665
2023,EU28,Transport concrete,Infrastructure,1196784262.672499
2023,EU28,Precast concrete,Buildings,3004819595.0995665
2023,EU28,Precast concrete,Infrastructure,1196784262.672499
2024,EU28,Transport concrete,Buildings,3031241596.307251
2024,EU28,Transport concrete,Infrastructure,1206963865.614839
2024,EU28,Precast concrete,Buildings,3031241596.307251
2024,EU28,Precast concrete,Infrastructure,1206963865.614839
2025,EU28,Transport concrete,Buildings,3055298821.4659905
2025,EU28,Transport concrete,Infrastructure,1216176810.8705199
2025,EU28,Precast concrete,Buildings,3055298821.4659905
2025,EU28,Precast concrete,Infrastructure,1216176810.8705199
2026,EU28,Transport concrete,Buildings,3076950561.299462
2026,EU28,Transport concrete,Infrastructure,1224406718.9503164
2026,EU28,Precast concrete,Buildings,3076950561.299462
2026,EU28,Precast concrete,Infrastructure,1224406718.9503164
2027,EU28,Transport concrete,Buildings,3096159472.957893
2027,EU28,Transport concrete,Infrastructure,1231638670.8039734
2027,EU28,Precast concrete,Buildings,3096159472.957893
2027,EU28,Precast concrete,Infrastructure,1231638670.8039734
2028,EU28,Transport concrete,Buildings,3112891530.5924587
2028,EU28,Transport concrete,Infrastructure,1237859196.7784495
2028,EU28,Precast concrete,Buildings,3112891530.5924587
2028,EU28,Precast concrete,Infrastructure,1237859196.7784495
2029,EU28,Transport concrete,Buildings,3127115995.2699194
2029,EU28,Transport concrete,Infrastructure,1243056272.791541
2029,EU28,Precast concrete,Buildings,3127115995.2699194
2029,EU28,Precast concrete,Infrastructure,1243056272.791541
2030,EU28,Transport concrete,Buildings,3138805406.376075
2030,EU28,Transport concrete,Infrastructure,1247219324.4466739
2030,EU28,Precast concrete,Buildings,3138805406.376075
2030,EU28,Precast concrete,Infrastructure,1247219324.4466739
2031,EU28,Transport concrete,Buildings,3147935596.061648
2031,EU28,Transport concrete,Infrastructure,1250339239.5754268
2031,EU28,Precast concrete,Buildings,3147935596.061648
2031,EU28,Precast concrete,Infrastructure,1250339239.5754268
2032,EU28,Transport concrete,Buildings,3154485727.6628795
2032,EU28,Transport concrete,Infrastructure,1252408389.4468672
2032,EU28,Precast concrete,Buildings,3154485727.6628795
2032,EU28,Precast concrete,Infrastructure,1252408389.4468672
2033,EU28,Transport concrete,Buildings,3158438358.3931065
2033,EU28,Transport concrete,Infrastructure,1253420658.6313841
2033,EU28,Precast concrete,Buildings,3158438358.3931065
2033,EU28,Precast concrete,Infrastructure,1253420658.6313841
2034,EU28,Transport concrete,Buildings,3159779525.964037
2034,EU28,Transport concrete,Infrastructure,1253371483.256855
2034,EU28,Precast concrete,Buildings,3159779525.964037
2034,EU28,Precast concrete,Infrastructure,1253371483.256855
2035,EU28,Transport concrete,Buildings,3158498858.166616
2035,EU28,Transport concrete,Infrastructure,1252257897.151072
2035,EU28,Precast concrete,Buildings,3158498858.166616
2035,EU28,Precast concrete,Infrastructure,1252257897.151072
2036,EU28,Transport concrete,Buildings,3154589703.8347335
2036,EU28,Transport concrete,Infrastructure,1250078585.131383
2036,EU28,Precast concrete,Buildings,3154589703.8347335
2036,EU28,Precast concrete,Infrastructure,1250078585.131383
2037,EU28,Transport concrete,Buildings,3148049283.040065
2037,EU28,Transport concrete,Infrastructure,1246833942.4846492
2037,EU28,Precast concrete,Buildings,3148049283.040065
2037,EU28,Precast concrete,Infrastructure,1246833942.4846492
2038,EU28,Transport concrete,Buildings,3138878853.8336253
2038,EU28,Transport concrete,Infrastructure,1242526139.4817748
2038,EU28,Precast concrete,Buildings,3138878853.8336253
2038,EU28,Precast concrete,Infrastructure,1242526139.4817748
2039,EU28,Transport concrete,Buildings,3127083892.369143
2039,EU28,Transport concrete,Infrastructure,1237159189.5952048
2039,EU28,Precast concrete,Buildings,3127083892.369143
2039,EU28,Precast concrete,Infrastructure,1237159189.5952048
2040,EU28,Transport concrete,Buildings,3112674282.82163
2040,EU28,Transport concrete,Infrastructure,1230739019.9374042
2040,EU28,Precast concrete,Buildings,3112674282.82163
2040,EU28,Precast concrete,Infrastructure,1230739019.9374042
2041,EU28,Transport concrete,Buildings,3095664513.159984
2041,EU28,Transport concrete,Infrastructure,1223273542.316514
2041,EU28,Precast concrete,Buildings,3095664513.159984
2041,EU28,Precast concrete,Infrastructure,1223273542.316514
2042,EU28,Transport concrete,Buildings,3076073872.5497856
2042,EU28,Transport concrete,Infrastructure,1214772723.213751
2042,EU28,Precast concrete,Buildings,3076073872.5497856
2042,EU28,Precast concrete,Infrastructure,1214772723.213751
2043,EU28,Transport concrete,Buildings,3053926645.955917
2043,EU28,Transport concrete,Infrastructure,1205248650.9272716
2043,EU28,Precast concrete,Buildings,3053926645.955917
2043,EU28,Precast concrete,Infrastructure,1205248650.9272716
2044,EU28,Transport concrete,Buildings,3029252301.3873453
2044,EU28,Transport concrete,Infrastructure,1194715598.0997646
2044,EU28,Precast concrete,Buildings,3029252301.3873453
2044,EU28,Precast concrete,Infrastructure,1194715598.0997646
2045,EU28,Transport concrete,Buildings,3002085665.179696
2045,EU28,Transport concrete,Infrastructure,1183190077.852421
2045,EU28,Precast concrete,Buildings,3002085665.179696
2045,EU28,Precast concrete,Infrastructure,1183190077.852421
2046,EU28,Transport concrete,Buildings,2972467080.7445645
2046,EU28,Transport concrete,Infrastructure,1170690891.7854624
2046,EU28,Precast concrete,Buildings,2972467080.7445645
2046,EU28,Precast concrete,Infrastructure,1170690891.7854624
2047,EU28,Transport concrete,Buildings,2940442546.3274403
2047,EU28,Transport concrete,Infrastructure,1157239168.1744142
2047,EU28,Precast concrete,Buildings,2940442546.3274403
2047,EU28,Precast concrete,Infrastructure,1157239168.1744142
2048,EU28,Transport concrete,Buildings,2906063827.5053263
2048,EU28,Transport concrete,Infrastructure,1142858388.7901976
2048,EU28,Precast concrete,Buildings,2906063827.5053263
2048,EU28,Precast concrete,Infrastructure,1142858388.7901976
2049,EU28,Transport concrete,Buildings,2869388540.4168177
2049,EU28,Transport concrete,Infrastructure,1127574402.897859
2049,EU28,Precast concrete,Buildings,2869388540.4168177
2049,EU28,Precast concrete,Infrastructure,1127574402.897859
2050,EU28,Transport concrete,Buildings,2830480202.047178
2050,EU28,Transport concrete,Infrastructure,1111415427.1411555
2050,EU28,Precast concrete,Buildings,2830480202.047178
2050,EU28,Precast concrete,Infrastructure,1111415427.1411555
